code,name,latitude,longitude,use,closed
SCRL,La Estrella,-34.201111,-71.481667,PVT,0
SCRM,Teniente Rodolfo Marsh Martin/Antártica,-62.190800,-58.986698,PUB,0
SCRN,Rio Negro,-41.962222,-72.453889,PUB,0
SCRO,Santa Bárbara,-34.958889,-71.032778,PVT,0
SCRP,Rapelhuapi,-34.106111,-71.512500,PVT,0
SCRR,Purrahuín,-40.365278,-72.776667,PVT,0
SCRS,El Rosario,-33.488899,-71.405602,PVT,0
SCRU,Rio Murta,-46.456667,-72.676944,PUB,0
SCRW,Rucalonco,-34.548611,-72.045278,PVT,0
SCRY,El Arrayán,-41.402778,-72.943333,PVT,0
SCSA,Rungue Dr. C. Barría B.,-33.028417,-70.880000,PVT,0
SCSB,Franco Bianco,-52.736617,-69.333722,PUB,0
SCSD,San Fernando,-34.565833,-70.968333,PVT,0
SCSE,La Florida,-29.916401,-71.199402,PUB,0
SCSF,Víctor Lafón,-32.745278,-70.705000,PUB,0
SCSJ,San Javier,-35.626556,-71.699944,PVT,0
SCSK,Colorado,-35.663056,-71.303611,PVT,0
SCSL,El Salar,-23.645000,-68.303056,PVT,0
SCSM,Minsal,-23.584444,-68.382778,PVT,0
SCSN,Santo Domingo,-33.656667,-71.615833,PUB,0
SCSO,Costa del Sol,-34.120800,-71.527199,PVT,0
SCSP,El Sobrante,-32.223611,-70.800000,PVT,0
SCSR,Segundo Corral Alto,-42.083333,-71.863889,PUB,0
SCSS,San Sebastián,-53.315833,-68.657778,PUB,0
SCST,Gamboa,-42.490278,-73.774444,PUB,0
SCSU,Santa Lucía,-38.919201,-72.366699,PVT,0
SCSV,Viña Sutil,-34.448889,-71.385833,PVT,0
SCSZ,Puerto Sánchez,-46.591944,-72.586667,PUB,0
SCTA,Las Pircas,-33.770833,-70.855000,PVT,0
SCTB,Eulogio Sánchez,-33.456944,-70.547222,PUB,0
SCTC,Maquehue,-38.766944,-72.637222,PVT,0
SCTE,El Tepual,-41.438900,-73.093903,PUB,0
SCTH,Tres Chorrillos,-52.525278,-70.723889,PVT,0
SCTL,Panguilemo,-35.377778,-71.601389,PUB,0
SCTN,Nuevo Chaitén,-42.781944,-72.835000,PUB,0
SCTO,Victoria,-38.245556,-72.348611,PUB,0
SCTP,Río Pascua,-48.228889,-73.299444,PUB,0
SCTQ,Tres Quebradas,-29.252778,-70.088889,PVT,0
SCTR,Traiguén,-38.271389,-72.662500,PUB,0
SCTS,Santa Teresa del Almendral,-33.575556,-71.260833,PVT,0
SCTT,Las Breas,-25.563889,-70.376667,PUB,0
SCTU,Litueche,-34.114399,-71.720001,PVT,0
SCTW,El Tapihue,-33.320278,-71.331944,PVT,0
SCUA,Guanaco,-25.096667,-69.510000,PVT,0
SCUE,La Peña,-35.266389,-71.763056,PVT,0
SCUH,Fundo Cuincahuin,-40.413333,-72.759722,PVT,0
SCUI,Pumalín,-42.701389,-72.833611,PUB,0
SCUL,El Litral,-36.796014,-72.417361,PVT,0
SCUM,La Obra,-35.300598,-71.330299,PVT,0
SCUN,Bellavista de Punitaqui/ PUNITAQUI,-31.008611,-71.351667,,0
SCUU,El Peral,-31.653333,-71.243333,PVT,0
SCUZ,Aerosantacruz,-34.649167,-71.386111,PVT,0
SCVB,Villa Baviera,-36.397500,-71.565556,PVT,0
SCVC,El indio,-29.834444,-70.046111,PVT,0
SCVD,Pichoy,-39.649444,-73.086389,PUB,0
SCVE,Lago Verde,-44.229444,-71.851944,PUB,0
SCVG,El Vergel,-39.829444,-72.488333,PVT,0
SCVH,La Victoria de Chacabuco,-33.050833,-70.708889,PUB,0
SCVI,Villarrica,-39.317222,-72.228333,PVT,0
SCVK,El Alamo,-34.846028,-72.019917,PVT,0
SCVL,Las Marías,-39.795833,-73.241389,PUB,0
SCVM,Viña del Mar,-32.949722,-71.478611,PUB,0
SCVN,Huancara,-30.032500,-70.741667,PVT,0
SCVO,María Ester,-38.230000,-72.480278,PVT,0
SCVQ,Cuatro Pantanos,-34.837222,-72.065000,PVT,0
SCVV,Los Maitenes de Villa Vieja,-40.317222,-72.979444,PUB,0
SCVZ,Viña Sta. Cruz,-34.698900,-71.563400,PVT,0
SCXA,Alupenhue,-35.238722,-71.070917,PVT,0
SCXB,Las Brujas,-31.786111,-71.013333,PUB,0
SCYB,Trilahue,-37.133334,-72.413889,PVT,0
SCYL,Licán,-40.636742,-72.413300,PVT,0
SCYO,Poyo,-42.226667,-72.693611,PUB,0
SCYR,Los Maitenes,-36.031667,-71.741111,PVT,0
SCZB,Pozo Brujo,-40.205278,-72.568056,PVT,0
SCZC,Casas Viejas,-32.595299,-71.347198,PVT,1
SCZE,Estero Seco,-33.745000,-70.549444,PVT,0
SCZR,Los Zorrillos de Tonlemu,-35.095833,-71.732778,PVT,0
SHAB,Aguas Blancas,-32.665556,-71.440278,,0
SHAD,Matanzas,-33.967860,-71.853800,,0
SHAF,Santa Carolina,-34.826111,-72.066389,,0
SHAG,Ánguila 1,-52.499444,-68.725556,,0
SHAL,Los Paltos,-33.725556,-70.930278,,0
SHAO,Hospital de Ovalle,-30.578531,-71.191742,,0
SHAP,Asistencia Pública Dr. Alejandro del Río,-33.444361,-70.638083,,0
SHAS,HLP Aerosentrans,-33.440000,-70.831667,,0
SHAT,Heliplataforma Atmosphere,,,,0
SHAU,HLP Santa Rosa,-34.255222,-71.030556,,0
SHAV,Alta Vista,-32.621667,-71.399444,,0
SHBB,Heliplataforma Betanzos,,,,0
SHBE,Edificio Exterior,-33.439944,-70.646614,,0
SHBH,Eagle Copters,-33.271389,-70.650000,,0
SHBI,HLP Hospital Biprovincial Quillota-Petorca,-32.901778,-71.252917,,0
SHBL,Hospital Ramón Barros Luco,-33.485278,-70.644444,,0
SHBO,Base Olimpo,-33.359444,-70.266944,,0
SHBS,Banco Santander,-33.441667,-70.652222,,0
SHCA,Prefectura Aeropolicial de Carabineros de Chile,-33.455278,-70.548333,,0
SHCC,Clínica Las Condes,-33.385100,-70.529956,,0
SHCD,Clínica Alemana Santiago,-33.391944,-70.572778,,0
SHCF,Hospital Carlos Cisternas,-22.444472,-68.916694,,0
SHCG,Cachagua,-32.579439,-71.454893,,0
SHCH,Agroforestal,-33.221028,-70.759611,,0
SHCI,San Cristobal,-32.579167,-71.455000,,0
SHCL,CLC Peñalolen,-33.489692,-70.545047,,0
SHCM,Corporativo Mutual,-33.440278,-70.637778,,0
SHCV,HLP Hospital Claudio Vicuña,-33.588611,-71.609631,,0
SHCY,Hospital de Coyhaique,-45.568889,-72.075556,,0
SHDG,Batería Dungenes Nº1,-52.380833,-68.431389,,0
SHDH,DAP Helicópteros S.A.,-53.168333,-70.911111,,0
SHDN,Daniel 1,-52.364722,-68.765000,,0
SHDO,Valle Nevado,-33.358333,-70.249444,,0
SHDP,Del Pacífico,-38.765833,-72.805000,,0
SHEB,HLP Edificio Ejército Bicentenario,-33.457758,-70.657433,,0
SHEC,Edificio ITAU,-33.416389,-70.593611,,0
SHEE,Esmeralda,-35.720000,-71.509722,,0
SHEH,HLP Edificio Huidobro,-33.403917,-70.572583,,0
SHEI,Escuela de Investigaciones Policiales,-33.459444,-70.716667,,0
SHEJ,Cuartel General de la I División de Ejército,-23.682500,-70.413889,,0
SHEM,El Mercurio,-33.380833,-70.596111,,0
SHEO,RAC,-33.270639,-70.650556,PUB,0
SHET,San Esteban,-35.702222,-71.572222,,0
SHEV,HLP Clínica Las Condes - Edificio Verde A.,-33.385255,-70.531024,,0
SHFA,Los Cerrillos,-33.496389,-70.695278,,0
SHFB,Hospital Felix Bulnes,-33.424444,-70.741389,,0
SHFE,Hospital San Camilo,-32.748333,-70.710000,,1
SHFY,Aerofly,-35.444444,-71.601858,,0
SHGA,General Humberto Arriagada Valdivieso,-33.450556,-70.609444,,0
SHGE,Gertrudis Echeñique,-33.417333,-70.591722,,0
SHGF,Hospital Gustavo Fricke,-33.029167,-71.542972,,0
SHGO,Los Lirios,-34.232222,-70.791667,,0
SHGR,Edificio Corpgroup,-33.404444,-70.573611,,0
SHGU,El Guanaco,-36.213528,-72.623000,,0
SHHA,Hospital de Antofagasta,-23.616833,-70.386111,,0
SHHC,Hospital Clinico Regional de Concepción,-36.824681,-73.037283,,0
SHHE,Helicopters,-34.210722,-70.715944,,0
SHHF,Hospital FACH,-33.397222,-70.545833,,0
SHHI,Hospital DIPRECA,-33.417806,-70.528861,,0
SHHM,Hospital San José de Melipilla,-33.679944,-71.186956,,0
SHHN,Hospital Naval Almirante Nef,-32.996667,-71.535833,,0
SHHO,HLP Holvoet,-27.397222,-70.261944,,0
SHHP,Hospital Clínico Punta Arenas,-53.118056,-70.899722,,0
SHHR,Carabineros de Chile,-53.156389,-70.922222,,0
SHHS,Hospital del Salvador,-33.436111,-70.621111,,1
SHHT,Hospital Regional de Talca,-35.426667,-71.646111,,0
SHHV,Naval,-18.472222,-70.320556,,0
SHIC,Hospital Provincial de Curicó,-34.979722,-71.213611,,0
SHIM,Clínica Indisa Maipú,-33.478056,-70.754111,,0
SHIN,Clinica Indisa,-33.420833,-70.617778,,0
SHIQ,Cuartel general VI División de Ejército,-20.230000,-70.145000,,0
SHIS,Isidora 3000,-33.413889,-70.598056,,0
SHJN,Hospital Juan Noe C.,-18.482778,-70.313056,,0
SHJO,Hospital San José,-33.416083,-70.653139,,0
SHKI,Kipreos,-33.376944,-70.744444,,0
SHLA,Las Américas,-33.435833,-70.643333,,0
SHLB,Base Central,-33.351667,-70.293333,,0
SHLG,La Gonzalina,-34.140361,-70.771083,,0
SHLI,CLC-CHICUREO,-33.282722,-70.650778,,0
SHLJ,Los Junquillos,-34.956139,-71.960056,,0
SHLL,Hospital  Puerto Montt,-41.445861,-72.956083,,0
SHLN,Hospital de Los Angeles Dr. Víctor Ríos Ruíz,-37.473611,-72.346389,,0
SHLP,Helipuerto Los Portones - Lo Barnechea,-33.359556,-70.525944,,0
SHLU,HLP Terra Luna,-46.840167,-72.691119,,0
SHMA,Clínica Santa María,-33.431944,-70.628889,,0
SHMD,Ministerio de Defensa Nacional,-33.435278,-70.638056,,0
SHME,La Cabaña,-33.974722,-71.388611,,0
SHMI,Hospital Militar,-33.451389,-70.536944,,0
SHMM,Hospital Provincial Marga Marga,-33.067250,-71.374444,,0
SHMS,Hospital Clínico Mutual de seguridad,-33.457222,-70.700000,,0
SHNA,Centro Médico Clínica Alemana de Chicureo,-33.286389,-70.650611,,0
SHNB,Hospital Regional de Ñuble,-36.619861,-72.118222,,0
SHNC,Catalina Norte 1,-52.563611,-68.675556,,0
